clave	concepto	unidad	precio
AE14HD	Prueba de resistencia por el método de tres apoyos en tubos de concreto simple de 10, 15, 20 y 30 cm de diámetro.	prueba	1,072.82
AE14HG	Prueba de resistencia por el método de tres apoyos en tubos de concreto simple de 38, 50 y 60 cm de diámetro.	prueba	1,448.09
AE14HJ	Prueba de resistencia por el método de tres apoyos en tubos de concreto reforzado de 75 y 100 cm de diámetro.	prueba	2,433.18
AF	Trazo y nivelación topográficos. Norma de Construcción de la Administración Pública de la Ciudad de México 3.01.01.004.		
AF12	Levantamiento de poligonales.		
AF12B	Levantamiento de poligonales cerradas con equipo de topografía, incluye: el suministro del material para señalamiento, la mano de obra para el estacado, marcado, memoria de cálculo y elaboración de planos topográficos, la herramienta y el equipo necesarios.		
AF12BB	Levantamiento de poligonales cerradas, con equipo de topografía, primeras dos hectáreas.	Ha	6,378.24
AF12BC	Levantamiento de poligonales cerradas, con equipo de topografía, de 2.01 a 5.00 hectáreas.	Ha	4,052.69
AF12BD	Levantamiento de poligonales cerradas, con equipo de topografía, de 5.01 a 10.00 hectáreas.	Ha	2,854.33
AF12BE	Levantamiento de poligonales cerradas, con equipo de topografía, de 10.01 a 20.00 hectáreas.	Ha	2,327.58
AF12BF	Levantamiento de poligonales cerradas, con equipo de topografía, de 20.01 a 50.00 hectáreas.	Ha	1,801.47
AF12BG	Levantamiento de poligonales cerradas, con equipo de topografía, de 50.01 a 100.00 hectáreas.	Ha	1,042.20
AF12BH	Levantamiento de poligonales cerradas, con equipo de topografía, de más de 100 hectáreas.	Ha	901.85
AF13	Trazos y nivelaciones.		
AF13B	Trazo y nivelación para desplante de instalaciones deportivas con equipo de topografía, incluye: el suministro del material para señalamiento, la mano de obra, la herramienta y el equipo necesarios.		
AF13BB	Trazo y nivelación para desplante de instalaciones deportivas, con equipo de topografía, primeras dos hectáreas.	Ha	8,203.58
AF13BC	Trazo y nivelación para desplante de instalaciones deportivas, con equipo de topografía, de 2.01 a 5.00 hectáreas	Ha	5,985.69
AF13BD	Trazo y nivelación para desplante de instalaciones deportivas, con equipo de topografía, de 5.01 a 10.00 hectáreas	Ha	4,954.02
AF13BE	Trazo y nivelación para desplante de instalaciones deportivas, con equipo de topografía, de más de 10 hectáreas.	Ha	2,914.95
AF13C	Trazo y nivelación de plazas, andaderos y parques con equipo de topografía, incluye: el suministro del material para señalamiento, la mano de obra, la herramienta y el equipo necesarios.		
AF13CB	Trazo y nivelación de plazas, andaderos y parques, con equipo de topografía, primeros 10 000 m2	m2	2.88
AF13CC	Trazo y nivelación de plazas, andaderos y parques, con equipo de topografía, de 10 001 a 15 000 m2.	m2	2.48
AF13CD	Trazo y nivelación de plazas, andaderos y parques, con equipo de topografía, de 15 001 a 20 000 m2.	m2	2.04
AF13CE	Trazo y nivelación de plazas, andaderos y parques, con equipo de topografía, de más de 20 000 m2.	m2	1.64
AF13D	Trazo y nivelación para desplante de estructuras, con equipo de topografía, incluye: el suministro del material para señalamiento, la mano de obra, la herramienta y el equipo necesarios.		
AF13DB	Trazo y nivelación para desplante de estructura para edificación, con equipo de topografia.	m2	6.55
AF13DC	Trazo y nivelación para desplante de estructura para vialidad, con equipo de topografia.	m2	5.99
AF13DD	Trazo y nivelación para desplante de estructura para obra hidráulica, con equipo de topografia.	m2	6.25
B	Desyerbe, desmonte, tala, extracción de tocones, despalme, poda, excavaciones, demoliciones, acarreos y rellenos, Norma de Construcción de la Administración Pública de la Ciudad de México 3.01.01.002.		
BC	Desyerbe.		
BC12B	Desyerbe y limpia del terreno por medios manuales, incluye: el acarreo libre dentro del sitio de los trabajos o a pie de vehículo de transporte, limpieza, la herramienta y el equipo necesarios.		
BC12BB	Desyerbe y limpia del terreno realizada a mano, incluye: acarreo libre a 20 m.	m2	8.25
BC12BC	Acarreo en carretilla del material producto del desyerbe, a estaciones subsecuentes de 20 m	m3-estac	24.83
BC12C	Desmonte por medios mecánicos en áreas con densidad del 100%, incluye: la mano de obra, la herramienta, la maquinaria y el equipo necesarios, Norma de Construcción de la Administración Pública de la Ciudad de México 3.01.01.02.		
BC12CB	Desmonte por medios mecánicos en área de bosque.	m2	3.05
BC12CC	Desmonte por medios mecánicos en área de semiárida a árida.	m2	0.95
BC12CD	Desmonte por medios mecánicos en área semidesértica.	m2	0.64
BD	Tala de árboles.		
BD12B	Tala de árboles, incluye: la mano de obra para el desrame, troceo, acarreo libre dentro del sitio de los trabajos o a pie del vehículo de transporte, estiba, limpieza, la herramienta y el equipo necesarios.		
BD12BB	Tala de árbol con perímetro de tronco de 0.25 a 0.50 m	pieza	269.47
BD12BC	Tala de árbol con perímetro de tronco de 0.51 a 1.00 m	pieza	815.75
BD12BD	Tala de árbol con perímetro de tronco de 1.01 a 1.50 m	pieza	978.91
BD12C	Extracción manual de tocones, incluye: la excavación, desenraicé, acarreo libre dentro del sitio de los trabajos o a pie del vehículo de transporte, estiba, limpieza, la herramienta y el equipo necesarios.		
BD12CB	Extracción manual de tocón con perímetro de 0.25 a 0.50 m	pieza	243.74
BD12CC	Extracción manual de tocón con perímetro de 0.51 a 1.00 m	pieza	670.30
BD12CD	Extracción manual de tocón con perímetro de 1.01 a 1.50 m	pieza	983.13
BD13D	Poda integral de árboles que tengan ramas peligrosas para conformar, balancear el estado fisiológico e imagen del árbol, reducción de altura cortando selectivamente ramas en la parte superior de la copa, proporcionar el paso de la luz y movimiento del aire, poda fitosanitaria que consiste en quitar ramas secas o enfermas, levantamiento de fuste de la base del tronco, trabajos de corte y troceado de las ramas para su descenso con caída controlada hasta el nivel del terreno, carga, acarreo libre, dentro del sitio de los trabajos o a pie de vehículo de transporte, limpieza del área dejando libre de ramas y material producto de la poda, incluye: la mano de obra, la maquinaria, el equipo y la herramienta necesarios.		
BD13DB	Poda de árboles hasta 5.00 m de altura.	pieza	513.44
BD13DC	Poda de árboles de 5.10 a 10.00 m de altura.	pieza	637.18
BD13DD	Poda de árboles de 10.10 a 15.00m de altura.	pieza	1,026.88
BD13DE	Poda de árboles de 15.10 a 20.00 m de altura.	pieza	1,362.20
BD13GH	Trituración de árboles y ramas con astilladora modelo 95XP marca Bandit, de 63 kw (84.50 HP) de potencia, previamente talados y desramados, incluye: la mano de obra, la maquinaria, el equipo y la herramienta necesarios.	hora	506.17
BE	Despalme, Norma de Construcción de la Administración Pública de la Ciudad de México 3.01.01.003.		
BE12	Despalme en forma manual y en forma mecánica.		
BE12B	Despalme por medios manuales, incluye: la mano de obra para la remoción, extracción, acarreo libre, limpieza, la herramienta y el equipo necesarios.		
BE12BB	Despalme de material por medios manuales, todas las zonas.	m3	191.49
BE12C	Despalme por medios mecánicos, incluye: la mano de obra, acarreo libre, limpieza, la maquinaria, la herramienta y el equipo necesarios.		
BE12CB	Despalme de material, por medios mecánicos, todas las zonas.	m3	26.01
BF	Excavaciones a mano para formación de zanjas en terrenos seco y saturado, zonas "A", "B" y "C", clases "I, II, II-A y III", incluye: el suministro de los materiales en la parte proporcional que le corresponda para la fabricación y colocación de la obra falsa utilizada en el traspaleo, pasarelas, señales, tarimas y andamios, remoción y extracción del material producto de la excavación al nivel del terreno natural, afine de taludes y fondo de la zanja, limpieza, la herramienta y el equipo necesarios, Norma de Construcción de la Administración Pública de la Ciudad de México 3.01.01.006.		
BF13B	Excavación a mano para formación de zanjas en zona "A", material clase I en seco, Incluye: afine, traspaleos y extracción a borde de zanja, medido en banco.		
BF13BB	Excavación a mano, zona "A", material clase I, de 0.00 a 2.00 m de profundidad.	m3	111.72
BF13BC	Excavación a mano, zona "A", material clase I, de 2.01 a 4.00 m de profundidad.	m3	184.61
BF13BD	Excavación a mano, zona "A", material clase I, de 4.01 a 6.00 m de profundidad.	m3	257.76
BF13C	Excavación a mano para formación de zanjas en zona "A", material clase II, en seco, Incluye: afine, traspaleos y extracción a borde de zanja, medido en banco.		
BF13CB	Excavación a mano, zona "A", material clase II, de 0.00 a 2.00 m de profundidad.	m3	171.87
BF13CC	Excavación a mano, zona "A", material clase II, de 2.01 a 4.00 m de profundidad.	m3	248.38
BF13CD	Excavación a mano, zona "A", material clase II, de 4.01 a 6.00 m de profundidad.	m3	325.25
BF14B	Excavación a mano para formación de zanjas en zona "B", material clase I, en seco, Incluye: afine, traspaleos, y extracción a borde de zanja, medido en banco.		
BF14BB	Excavación a mano, zona "B", material clase I, de 0.00 a 2.00 m de profundidad.	m3	131.44
BF14BC	Excavación a mano, zona "B", material clase I, de 2.01 a 4.00 m de profundidad.	m3	204.62
BF14BD	Excavación a mano, zona "B", material clase I, de 4.01 a 6.00 m de profundidad.	m3	278.83
BF14C	Excavación a mano para formación de zanjas en zona "B", material clase II, en seco, Incluye: afine, traspaleos, y extracción a borde de zanja, medido en banco.		
BF14CB	Excavación a mano, zona "B", material clase II, de 0.00 a 2.00 m de profundidad.	m3	202.50
BF14CC	Excavación a mano, zona "B", material clase II, de 2.01 a 4.00 m de profundidad.	m3	278.83
BF14CD	Excavación a mano, zona "B", material clase II, de 4.01 a 6.00 m de profundidad.	m3	359.50
BF15B	Excavación a mano para formación de zanjas en zona "C", material clase I, en seco, Incluye: afine, traspaleos, y extracción a borde de zanja, medido en banco.		
BF15BB	Excavación a mano, zona "C", material clase I, de 0.00 a 2.00 m de profundidad.	m3	159.60
BF15BC	Excavación a mano, zona "C", material clase I, de 2.01 a 4.00 m de profundidad.	m3	233.33
BF15BD	Excavación a mano, zona "C", material clase I, de 4.01 a 6.00 m de profundidad.	m3	308.12
BF15C	Excavación a mano para formación de zanjas en zona "C", material clase II, en seco, Incluye: afine, traspaleos y extracción a borde de zanja, medido en banco.		
BF15CB	Excavación a mano, zona "C", material clase II, de 0.00 a 2.00 m de profundidad.	m3	245.52
BF15CC	Excavación a mano, zona "C", material clase II, de 2.01 a 4.00 m de profundidad.	m3	325.04
BF15CD	Excavación a mano, zona "C", material clase II, de 4.01 a 6.00 m de profundidad.	m3	404.56
BF16D	Excavación a mano para formación de zanjas, en cualquier zona, material clase II-A, en seco, Incluye: afine, traspaleos y extracción a borde de zanja, medido en banco.		
BF16DB	Excavación a mano, material clase II-A, de 0.00 a 2.00 m de profundidad.	m3	335.16
BF16DC	Excavación a mano, material clase II-A, de 2.01 a 4.00 m de profundidad.	m3	468.74
BF16DD	Excavación a mano, material clase II-A, de 4.01 a 6.00 m de profundidad.	m3	610.11
BF16E	Excavación a mano para formación de zanjas, en terreno seco todas las zonas, material clase III, ataque obligado con cuña y marro, con extracción a borde de zanja, medido en banco.		
